experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220630 233521	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.19694239888282	0.298903689744475	558	2723	24	0.020697570078563	8802	13638000	1
8101HTa	20220630 233655	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.101150194537477	0.54364797862363	944	5062	104	0.0129647855819782	12028	13412000	2
8101HTa	20220630 233838	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.109115315997624	0.677252665029664	219	5631	33	0.0178503870861226	10146	14454000	3
8101HTa	20220630 234035	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.219439874800737	0.631269203702686	353	3023	66	0.00770329988863812	11658	12462000	4
8101HTa	20220630 234247	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.157621125917649	0.877927442401415	419	1483	93	0.00379549841114819	10738	12902000	5
8101HTa	20220630 234355	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.171037877826602	0.47209830184438	311	3705	17	0.0150044938338453	10822	14618000	6
8101HTa	20220630 234434	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.191502237080131	0.154010101330641	151	565	230	0.00313719351123102	10850	11830000	7
8101HTa	20220630 234757	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0663912301760865	0.760789069002203	727	4945	311	0.00861914736932947	11072	13648000	8
8101HTa	20220630 234905	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0529878902470227	0.230676010684692	992	7942	150	0.0161638466255158	10838	14722000	9
8101HTa	20220630 235023	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.29231876291451	0.423570122741512	876	6593	166	0.00207170593394237	13460	11620000	10
8101HTa	20220630 235128	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.250807821118506	0.810647150408477	33	4031	129	0.0119687617372398	12464	13456000	11
