fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 184416	-0.720390179916285	7397	711	8	5	8237000	1
20220517 184526	-0.153412676749576	3508	1325	10	5	9113000	2
20220517 184643	-0.34448515099939	5793	374	19	5	8685000	3
20220517 184747	-0.570665154905873	2840	822	12	5	10333000	4
20220517 184822	-0.600457034676219	4475	1443	6	5	8930000	5
20220517 184910	-0.797300569563231	2263	1072	15	5	9899000	6
20220517 184955	-0.0875852170836878	6183	914	10	5	8612000	7
20220517 185047	-0.23400882105052	5114	31	14	5	7587000	8
20220517 185124	-0.0251292110740905	6868	1824	17	5	8152000	9
20220517 185159	-0.725274098060618	3029	181	6	5	10184000	10
20220517 185224	-0.261854597760248	7693	1547	4	5	8237000	11
20220517 185313	-0.876969284989173	4858	433	20	5	8249000	12
20220517 185352	-0.107849200628698	3968	1957	11	5	8322000	13
20220517 185436	-0.599311931751436	7161	397	20	5	8152000	14
20220517 185512	-0.935556192416698	5074	875	15	5	8689000	15
20220517 185544	-0.902767231618054	6790	1991	17	5	8139000	16
20220517 185611	-0.87286093444831	2807	895	5	5	10610000	17
20220517 185631	-0.981875510542108	2686	658	3	5	8317000	18
20220517 185713	-0.567977942635722	2798	914	13	5	10540000	19
20220517 185752	-0.738776007237047	2514	887	9	5	10829000	20
20220517 185823	-0.413576470219105	2245	887	6	5	10823000	21
20220517 185909	-0.779638588282879	1967	889	10	5	10944000	22
20220517 185954	-0.696554255194076	1756	871	8	5	10679000	23
20220517 190038	-0.918218863865837	2115	911	9	5	10748000	24
20220517 190129	-0.713245981812683	2069	889	18	5	10965000	25
20220517 190220	-0.491488896757371	2044	889	15	5	10933000	26
20220517 190311	-0.752609889020114	2054	889	15	5	10933000	27
20220517 190354	-0.568347554299809	1903	894	20	5	10822000	28
20220517 190437	-0.611686707606778	2185	877	20	5	10825000	29
20220517 190456	0.0940358705580923	2120	889	17	5	0	30
20220517 190606	-0.735568008541982	64	32	20	5	3876000	31
20220517 190629	-0.418009450556926	5134	262	3	5	8168000	32
20220517 190650	-0.496381578734673	2111	937	3	5	8216000	33
20220517 190730	-0.355540675659787	2959	904	9	5	10531000	34
20220517 190808	-0.45204641328324	5293	1683	20	5	8036000	35
20220517 190843	-0.837427245698569	1820	908	7	5	10912000	36
20220517 190929	-0.629784739231522	1763	880	16	5	10904000	37
20220517 191006	-0.393740076940626	886	443	7	5	9915000	38
20220517 191043	-0.996040849048841	3501	1750	6	5	9128000	39
20220517 191130	-0.480655671958026	4309	872	18	5	9288000	40
20220517 191226	-0.730632638389718	1821	909	20	5	10912000	41
20220517 191303	-0.946505031923847	2410	1205	6	5	9619000	42
20220517 191354	-0.452338636990629	1810	901	10	5	10797000	43
20220517 191436	-0.879381793173479	2744	354	6	5	10208000	44
20220517 191539	-0.703124755950037	1579	784	19	5	10733000	45
20220517 191623	-0.233679835936997	1852	882	6	5	10946000	46
20220517 191656	-0.139977994826622	8000	349	6	5	8237000	47
20220517 191746	-0.473428994443548	1119	558	14	5	10100000	48
20220517 191822	-0.310537557401617	1771	883	7	5	11002000	49
20220517 191908	-0.429732846855209	1763	879	13	5	10901000	50
20220517 191937	-0.927442852348149	5527	1	5	5	8524000	51
20220517 192009	-0.77524936223487	7995	2000	6	5	8237000	52
20220517 192045	-0.270770684808853	2022	1005	6	5	10572000	53
20220517 192120	-0.285677444862029	2268	831	6	5	10824000	54
20220517 192143	0.0997709930692104	7996	1763	6	5	0	55
20220517 192224	-0.200894086598354	7094	2000	15	5	8139000	56
20220517 192312	-0.715041290372656	1780	884	13	5	11002000	57
20220517 192355	-0.872696257117162	2183	851	8	5	10729000	58
20220517 192436	-0.742532573139335	3362	1680	11	5	9152000	59
20220517 192527	-0.137379609416184	3655	1827	20	5	8711000	60
20220517 192653	-0.692494316753167	1799	891	15	5	10878000	61
20220517 192813	-0.522298144871206	1766	875	14	5	10673000	62
20220517 192918	-0.24568518712832	2087	894	7	5	10823000	63
20220517 193012	-0.752943022705398	2096	482	6	5	10795000	64
20220517 193102	-0.401002558354204	2932	1466	7	5	9358000	65
20220517 193150	-0.762483210338778	1773	871	6	5	11002000	66
20220517 193232	-0.338240899138452	1933	599	6	5	10731000	67
20220517 193330	-0.457092524078316	1846	897	16	5	10821000	68
20220517 193423	-0.999910609859737	1864	902	20	5	10741000	69
20220517 193512	-0.914066529953443	1910	900	19	5	10819000	70
20220517 193552	-0.759620690690721	2127	894	6	5	10823000	71
20220517 193634	-0.586292313175508	2615	1305	18	5	9566000	72
20220517 193708	-0.885649905354899	1750	868	6	5	10671000	73
20220517 193757	-0.136603896356629	7999	896	20	5	8237000	74
20220517 193846	-0.762110637130855	1705	846	9	5	10615000	75
20220517 193925	-0.841582300225018	3564	912	7	5	9481000	76
20220517 194028	-0.724085953774866	1989	531	13	5	10657000	77
20220517 194110	-0.376624609522719	6638	1042	6	5	8165000	78
20220517 194208	-0.91555525473175	2710	897	12	5	10610000	79
20220517 194302	-0.432198959541645	2452	865	13	5	10679000	80
20220517 194346	-0.389356714355496	1865	834	7	5	10977000	81
20220517 194427	-0.222863870252714	4056	900	6	5	9288000	82
20220517 194520	-0.952376463548758	1949	886	13	5	10945000	83
20220517 194550	-0.930601319015143	5780	1819	4	5	8036000	84
20220517 194634	-0.644339656520748	1962	859	19	5	10826000	85
20220517 194717	-0.863730747285933	1956	891	12	5	10822000	86
20220517 194751	-0.246339501766631	1420	704	6	5	10258000	87
20220517 194830	-0.418633007453674	1890	1	6	5	8408000	88
20220517 194910	-0.16623006781526	6279	1315	20	5	8419000	89
20220517 194941	-0.73378589309792	2772	584	6	5	10367000	90
20220517 195019	-0.394503463596519	2049	885	10	5	10934000	91
20220517 195037	-0.540727612508439	7997	1	3	5	7604000	92
20220517 195108	-0.999082805920169	7998	1127	16	5	8237000	93
20220517 195138	-0.779183995760687	1819	345	6	5	10718000	94
20220517 195216	-0.258977140259891	7371	400	14	5	8237000	95
20220517 195256	-0.728740100935011	1910	862	17	5	10826000	96
20220517 195329	-0.342368139484334	1839	878	6	5	10945000	97
20220517 195406	-0.413411034613449	2566	445	7	5	10549000	98
20220517 195448	-0.712611095204328	2070	893	13	5	10844000	99
20220517 195532	-0.999890135817293	1635	685	15	5	10636000	100
20220517 195614	-0.49564689176707	2972	902	18	5	10531000	101
20220517 195657	-0.999301316494949	2135	502	18	5	10783000	102
20220517 195737	-0.998513938454478	2106	872	18	5	10825000	103
20220517 195819	-0.947512397249855	2075	691	20	5	10902000	104
20220517 195903	-0.57267693146448	2128	512	18	5	10805000	105
20220517 195944	-0.773101669737945	2073	598	19	5	10896000	106
20220517 200031	-0.752331920258015	2796	325	18	5	10002000	107
20220517 200109	-0.999353415974931	2600	908	10	5	10754000	108
20220517 200141	-0.577605349027277	7664	1486	13	5	8237000	109
20220517 200217	-0.273513698824926	5092	1483	11	5	8290000	110
20220517 200249	-0.801985354723515	2648	902	7	5	10531000	111
20220517 200338	-0.569684744843618	2449	719	16	5	10385000	112
20220517 200442	-0.906046337688032	2911	910	10	5	10535000	113
20220517 200545	-0.761261502823221	1768	875	18	5	10673000	114
20220517 200643	-0.720620899598845	2084	571	20	5	10881000	115
20220517 200752	-0.481946592070414	2087	524	19	5	10805000	116
