fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220524 104116	-0.271642029036593	4800	454	15	5	8249000	1
20220524 104142	-0.0443203838542103	5870	871	7	5	8699000	2
20220524 104214	-0.687846304425329	6768	750	17	5	8152000	3
20220524 104249	-0.155351484651328	2823	1044	9	5	10200000	4
20220524 104306	0.0555281082590229	4358	311	13	5	0	5
20220524 104336	-0.935211724089459	6118	1434	19	5	8290000	6
20220524 104351	-0.2365503491048	731	235	3	5	8344000	7
20220524 104412	-0.869366825641191	7366	1838	5	5	8237000	8
20220524 104441	-0.423651609323861	7538	963	11	5	8237000	9
20220524 104521	-0.544915828535159	1141	509	20	5	10163000	10
20220524 104540	0.0252226260941826	3854	1670	18	5	0	11
20220524 104612	-0.797929205989931	5440	60	9	5	8214000	12
20220524 104642	-0.631334197788965	4871	1836	18	5	8036000	13
20220524 104709	-0.0258654636796563	3274	487	7	5	9927000	14
20220524 104738	-0.841979743860429	7621	1231	15	5	8237000	15
20220524 104809	-0.113684194674715	3256	1541	17	5	9503000	16
20220524 104826	-0.0333246082983789	84	6	3	5	8128000	17
20220524 104902	-0.144839509905222	6349	434	18	5	8579000	18
20220524 104919	-0.133774031761744	2883	1411	3	5	7802000	19
20220524 104952	-0.176763972409171	3156	1568	12	5	9394000	20
20220524 105032	-0.121986475363923	1068	366	11	5	9639000	21
20220524 105109	-0.518761298428265	3475	526	17	5	9678000	22
20220524 105154	-0.159816059343179	110	52	12	5	6337000	23
20220524 105227	-0.117700115068231	3341	1082	10	5	9926000	24
20220524 105256	-0.156692540613138	6742	1523	9	5	8152000	25
20220524 105328	-0.0776988462366141	1937	462	8	5	10661000	26
20220524 105422	-0.568353744381287	147	31	15	5	4440000	27
20220524 105456	-0.510130146077526	3846	978	20	5	9308000	28
20220524 105528	-0.114129619988829	1408	583	8	5	10266000	29
20220524 105606	-0.541801272359902	6784	327	20	5	8152000	30
20220524 105649	-0.479123333687426	768	378	19	5	9462000	31
20220524 105719	-0.225779147352825	2643	1310	8	5	9565000	32
20220524 105755	-0.0513571456649673	1119	550	8	5	10206000	33
20220524 105824	-0.0607198761071065	2802	52	7	5	8659000	34
20220524 105858	-0.085586468793898	1496	744	9	5	10409000	35
20220524 105933	-0.142965016838494	2109	1050	19	5	10155000	36
20220524 110010	-0.0973830167487328	2968	593	13	5	10368000	37
20220524 110027	-0.0604640506596799	2963	515	3	5	8357000	38
20220524 110053	-0.321961901703469	2376	1077	6	5	9912000	39
20220524 110129	-0.364263524812899	1849	923	16	5	10867000	40
20220524 110205	-0.374041916008174	1718	645	10	5	10736000	41
20220524 110245	-0.391130451502921	1705	529	20	5	10732000	42
20220524 110323	-0.400062225384708	1531	747	16	5	10231000	43
20220524 110403	-0.352598249547646	1184	591	19	5	9943000	44
20220524 110435	-0.369900910970597	3076	1530	11	5	9401000	45
20220524 110513	-0.374150973647861	3463	498	16	5	9678000	46
20220524 110548	-0.378831422342975	2095	1045	20	5	10140000	47
20220524 110624	-0.150502383676011	2296	897	16	5	10823000	48
20220524 110703	-0.79285947068981	2318	613	20	5	10733000	49
20220524 110744	-0.894727882274807	2027	407	20	5	10215000	50
20220524 110819	-0.894334135144229	2141	1064	10	5	10120000	51
20220524 110853	-0.842227583245451	2136	1064	18	5	10120000	52
20220524 110917	-0.999912769065205	3057	617	5	5	10115000	53
20220524 110953	-0.999909869253228	3006	634	13	5	10235000	54
20220524 111033	-0.495267003831644	1942	467	20	5	10705000	55
20220524 111111	-0.307273831850875	2021	526	13	5	10605000	56
20220524 111146	-0.252267778710656	2797	840	20	5	10516000	57
20220524 111224	-0.83673518238517	3369	529	20	5	9678000	58
20220524 111305	-0.698798039556146	1829	576	20	5	10806000	59
20220524 111342	-0.684915021106001	2483	772	13	5	10592000	60
20220524 111415	-0.999672362999011	3893	860	9	5	9139000	61
20220524 111431	0.099429958616821	1776	640	13	5	0	62
20220524 111449	-0.754631224987285	2175	785	3	5	8197000	63
20220524 111525	-0.782135048126917	2202	820	13	5	10694000	64
20220524 111601	-0.351657949580618	2356	939	13	5	10610000	65
20220524 111637	-0.287046677311833	2138	979	16	5	10396000	66
20220524 111709	-0.999933975838447	418	201	7	5	9890000	67
20220524 111748	-0.931271083694249	1757	548	13	5	10780000	68
20220524 111821	-0.313237263020455	2084	580	9	5	10881000	69
20220524 111901	-0.999249948705132	1235	612	20	5	9611000	70
20220524 111939	-0.175807994027032	2573	545	20	5	10668000	71
20220524 111956	-0.999339467481032	7998	2	3	5	7604000	72
20220524 112030	-0.723629758239822	2814	1407	12	5	9393000	73
20220524 112057	-0.900065460255091	2094	444	6	5	10762000	74
20220524 112133	-0.88207202532772	2131	525	11	5	10805000	75
20220524 112203	-0.515477717060113	2552	519	7	5	10592000	76
20220524 112237	-0.680383788112273	2188	545	9	5	10881000	77
20220524 112309	-0.999788957256486	4013	2000	15	5	8029000	78
20220524 112347	-0.737302503131738	1996	550	11	5	10695000	79
20220524 112411	-0.639762890637726	7998	516	6	5	8237000	80
20220524 112440	-0.364281284322753	2238	486	7	5	10795000	81
20220524 112517	-0.214972552097644	2438	556	11	5	10668000	82
20220524 112549	-0.957347812658166	2283	390	8	5	10481000	83
20220524 112628	-0.782054727932799	1669	638	17	5	10583000	84
20220524 112703	-0.622933732362391	2171	876	10	5	10825000	85
20220524 112738	-0.47155208023082	2289	517	9	5	10805000	86
20220524 112816	-0.328888977751993	2165	506	10	5	10783000	87
20220524 112850	-0.521972997820369	2056	881	9	5	10967000	88
20220524 112916	-0.525555906168276	4004	2000	6	5	8029000	89
20220524 112950	-0.808648767605878	1949	520	9	5	10699000	90
20220524 113027	-0.657257252881054	1876	875	20	5	10946000	91
20220524 113054	-0.999829912772124	1730	470	6	5	10837000	92
20220524 113132	-0.657201004674489	1988	528	11	5	10650000	93
20220524 113208	-0.474628083818078	1970	902	17	5	10741000	94
20220524 113245	-0.761914692420856	1792	880	20	5	10997000	95
20220524 113320	-0.676074303402984	1878	886	10	5	10945000	96
20220524 113350	-0.257311482861296	1941	462	7	5	10661000	97
20220524 113422	-0.157387279164686	7999	894	20	5	8237000	98
20220524 113459	-0.901330697843783	1886	886	15	5	10945000	99
20220524 113533	-0.367858126666123	1918	896	9	5	10822000	100
20220524 113551	-0.999833218317969	1562	296	3	5	8328000	101
20220524 113621	-0.900220313265237	1800	635	7	5	10783000	102
20220524 113654	-0.999876028576296	7988	383	11	5	8237000	103
20220524 113732	-0.673464037272827	1959	928	16	5	10840000	104
20220524 113807	-0.658029208893147	1968	852	9	5	10826000	105
20220524 113843	-0.688509818858842	1891	871	20	5	10940000	106
20220524 113918	-0.51048102958067	2069	868	10	5	10961000	107
20220524 113955	-0.890204323092985	1805	888	14	5	1.1e+07	108
20220524 114033	-0.99883883221557	1711	851	13	5	10627000	109
20220524 114110	-0.9038004148154	1823	587	10	5	10885000	110
20220524 114146	-0.199378809300347	2635	888	17	5	10610000	111
20220524 114212	-0.891533801704685	6239	504	6	5	8612000	112
20220524 114242	-0.899893370654878	7999	2000	20	5	8237000	113
20220524 114323	-0.78688998580911	1735	864	20	5	10568000	114
20220524 114401	-0.755071522830743	2211	604	20	5	10733000	115
20220524 114438	-0.754686267063596	1901	947	14	5	10699000	116
20220524 114515	-0.715857709297647	1964	924	20	5	10866000	117
20220524 114554	-0.899377691596848	1324	656	13	5	10104000	118
20220524 114630	-0.766472652578148	2293	896	18	5	10823000	119
20220524 114659	-0.999420779994927	1987	9	7	5	10150000	120
20220524 114735	-0.540927322365357	1943	881	11	5	10946000	121
20220524 114812	-0.528172210538383	1908	902	16	5	10741000	122
20220524 114848	-0.767658289756219	2079	566	10	5	10909000	123
20220524 114917	-0.55434272346146	7998	1773	10	5	8237000	124
20220524 114953	-0.921320049016564	2287	880	14	5	10826000	125
20220524 115057	-0.999983831656293	2124	1	20	5	10144000	126
20220524 115131	-0.876031863717352	3198	1599	15	5	9085000	127
20220524 115202	-0.996361013852402	1845	554	7	5	10763000	128
20220524 115244	-0.999939998586834	1902	340	16	5	10529000	129
20220524 115320	-0.701920287049655	1922	612	10	5	10642000	130
20220524 115401	-0.234367556142979	1967	520	20	5	10699000	131
20220524 115434	-0.549141400158496	2641	884	9	5	10612000	132
20220524 115515	-0.78009311219126	1906	465	20	5	10705000	133
20220524 115546	-0.920683079898171	2044	507	7	5	10658000	134
20220524 115620	-0.24150457581222	2928	1463	20	5	9358000	135
20220524 115656	-0.125995876365148	2540	818	20	5	10552000	136
20220524 115724	-0.316196489227954	1828	523	6	5	10850000	137
20220524 115801	-0.454559771771848	1846	888	11	5	10944000	138
20220524 115843	-0.969076753416542	1868	587	14	5	10789000	139
20220524 115921	-0.886258796751164	2062	898	16	5	10840000	140
20220524 115943	-0.99998171339021	7995	1798	5	5	8237000	141
20220524 120010	-0.674269839310315	1871	569	6	5	10928000	142
20220524 120037	-0.480223935157967	1838	886	6	5	11014000	143
20220524 120114	-0.604403288821501	1855	912	20	5	10843000	144
20220524 120150	-0.778690005545976	2490	425	10	5	10207000	145
20220524 120220	-0.479959739320644	1763	554	7	5	10780000	146
20220524 120246	-0.129153250633508	8000	442	7	5	8237000	147
20220524 120323	-0.89389191580496	2002	890	13	5	10932000	148
20220524 120351	-0.440359160594184	2071	557	6	5	10909000	149
20220524 120426	-0.134846417256289	2510	787	11	5	10592000	150
20220524 120454	-0.520600930735948	1943	893	6	5	10823000	151
20220524 120530	-0.999765309098376	2411	1200	15	5	9619000	152
20220524 120556	-0.315156575490949	5939	438	6	5	8685000	153
20220524 120636	-0.999686120692032	2311	157	11	5	10347000	154
20220524 120706	-0.673209082372203	7999	1539	20	5	8237000	155
20220524 120745	-0.796202352504136	2249	572	14	5	10881000	156
20220524 120815	-0.36869379719096	7995	2000	16	5	8237000	157
20220524 120854	-0.89281113881354	2325	587	15	5	10907000	158
20220524 120933	-0.150795759590285	3058	668	16	5	10166000	159
20220524 121024	-0.999738423175815	7990	2	20	5	8037000	160
20220524 121052	-0.470845330170443	2069	782	6	5	10881000	161
20220524 121130	-0.764271994712042	1840	888	14	5	10944000	162
20220524 121157	-0.385552444264151	2049	552	6	5	10909000	163
20220524 121225	-0.479376718576469	2276	563	6	5	10881000	164
20220524 121253	-0.947021786564648	1873	577	6	5	10928000	165
20220524 121343	-0.999776156584229	4914	91	20	5	7892000	166
20220524 121419	-0.10139865883558	2148	911	11	5	10748000	167
20220524 121458	-0.856880092594829	2064	581	14	5	10909000	168
20220524 121535	-0.483560520958628	1857	894	11	5	10822000	169
20220524 121615	-0.358113275910199	2367	560	18	5	10881000	170
20220524 121651	-0.544300863941412	2754	882	20	5	10612000	171
20220524 121725	-0.357404167426963	5860	885	20	5	8702000	172
20220524 121753	-0.0759593022178232	2271	877	6	5	10825000	173
20220524 121828	-0.140723419771445	2758	1376	15	5	9556000	174
20220524 121901	-0.0998517015591356	2295	671	8	5	10744000	175
20220524 121929	-0.0943206230278932	4156	1999	7	5	8045000	176
20220524 121958	-0.456343475138292	1849	886	6	5	10945000	177
20220524 122035	-0.359916257502926	1836	878	16	5	11014000	178
20220524 122113	-0.381058806676336	2207	879	17	5	10823000	179
20220524 122143	-0.549978782011965	3268	571	6	5	9924000	180
20220524 122235	-0.442862080322878	1911	535	20	5	10725000	181
20220524 122320	-0.349792717619883	1841	719	17	5	10744000	182
20220524 122338	-0.0764983305462588	8000	1999	3	5	7604000	183
20220524 122407	-0.999925320250259	895	442	6	5	10621000	184
20220524 122435	-0.225837843497438	2050	827	6	5	10954000	185
20220524 122503	-0.548682324692373	1775	856	6	5	10893000	186
20220524 122546	-0.356925164362483	2077	379	20	5	10345000	187
20220524 122621	-0.239599615525143	2242	844	9	5	10729000	188
20220524 122659	-0.535159776447945	1824	871	20	5	11021000	189
20220524 122734	-0.450233424431094	1849	836	9	5	10899000	190
20220524 122810	-0.75836594877179	2624	1309	20	5	9566000	191
20220524 122854	-0.103591766876893	2132	530	17	5	10850000	192
20220524 122923	-0.223255238951208	2255	529	6	5	10850000	193
20220524 123004	-0.766326882339101	1928	572	19	5	10763000	194
20220524 123044	-0.814601957275857	2094	561	17	5	10881000	195
20220524 123122	-0.360231322410797	2196	549	11	5	10881000	196
