fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220529 210842	222	2	88	19	5	8719000	1
20220529 211013	190	6	21	9	5	10891000	2
20220529 211212	236	5	104	11	5	10804000	3
20220529 211304	141	3	64	13	5	9641000	4
20220529 211438	130	6	143	16	5	11044000	5
20220529 211527	184	4	124	7	5	9633000	6
20220529 211619	123	8	80	5	5	10863000	7
20220529 211654	227	3	18	4	5	4785000	8
20220529 211741	194	2	5	14	5	7965000	9
20220529 211841	148	8	136	5	5	10935000	10
20220529 211910	158	1	112	17	5	364000	11
20220529 212107	209	7	31	10	5	11049000	12
20220529 212300	111	7	41	20	5	11252000	13
20220529 212318	170	1	151	2	5	0	14
20220529 212359	105	5	58	8	5	10920000	15
20220529 212551	248	4	92	16	5	10439000	16
20220529 212651	100	4	116	20	5	10513000	17
20220529 212743	100	7	134	7	5	10746000	18
20220529 213125	200	8	97	20	5	11125000	19
20220529 213525	250	7	160	20	5	11368000	20
20220529 213719	162	5	1	20	5	11063000	21
20220529 214045	250	6	76	20	5	11306000	22
20220529 214349	184	7	100	20	5	11498000	23
20220529 214436	100	3	160	20	5	10383000	24
20220529 214636	100	8	160	20	5	11175000	25
20220529 214805	100	6	1	20	5	11013000	26
20220529 215207	250	7	1	20	5	11584000	27
20220529 215609	250	7	65	20	5	11725000	28
20220529 215812	163	5	160	20	5	11089000	29
20220529 220009	100	8	1	20	5	10692000	30
20220529 220304	250	8	6	12	5	11468000	31
20220529 220612	250	8	160	13	5	11875000	32
20220529 220857	250	8	111	11	5	11621000	33
20220529 220952	250	8	160	2	5	9288000	34
20220529 221136	135	8	158	13	5	11190000	35
20220529 221519	250	8	140	16	5	11048000	36
20220529 221642	211	3	1	20	5	10350000	37
20220529 221731	100	5	160	12	5	10320000	38
20220529 222000	230	8	160	11	5	11903000	39
20220529 222234	250	7	160	12	5	11076000	40
20220529 222257	100	6	93	2	5	6935000	41
20220529 222416	165	5	1	13	5	10948000	42
20220529 222636	250	8	160	9	5	11296000	43
20220529 222858	197	6	38	17	5	10730000	44
20220529 223023	100	6	157	20	5	11498000	45
20220529 223255	217	8	71	12	5	11184000	46
20220529 223550	250	8	160	12	5	11503000	47
20220529 223732	215	8	1	7	5	10509000	48
20220529 224049	250	8	1	14	5	11262000	49
20220529 224235	171	8	160	10	5	11120000	50
20220529 224401	250	4	1	11	5	10374000	51
20220529 224636	250	6	160	15	5	10842000	52
20220529 224936	227	8	160	14	5	11363000	53
20220529 225318	250	7	62	19	5	11221000	54
20220529 225600	250	7	1	13	5	11431000	55
20220529 225712	100	8	1	11	5	10735000	56
20220529 225846	233	6	160	8	5	10833000	57
20220529 230023	250	3	160	20	5	10290000	58
20220529 230233	250	5	1	15	5	10764000	59
20220529 230334	100	6	49	13	5	11079000	60
20220529 230617	249	8	160	11	5	11933000	61
20220529 230801	250	8	160	6	5	11205000	62
20220529 231107	250	8	38	13	5	11411000	63
20220530 092555	250	8	160	11	5	11993000	64
20220530 092742	250	8	160	6	5	11205000	65
20220530 092827	109	6	16	6	5	10567000	66
20220530 093004	250	4	160	13	5	10452000	67
20220530 093319	250	8	40	13	5	11193000	68
20220530 093444	100	7	1	16	5	11199000	69
20220530 093616	100	7	160	18	5	10943000	70
20220530 093842	216	8	1	11	5	11282000	71
20220530 093949	124	6	1	11	5	10873000	72
20220530 094110	250	8	1	4	5	10958000	73
20220530 094233	250	7	67	5	5	10923000	74
20220530 094351	103	7	1	14	5	10887000	75
20220530 094712	250	7	1	16	5	11283000	76
20220530 094748	100	4	160	9	5	10088000	77
20220530 095022	250	8	160	10	5	11398000	78
20220530 095126	100	7	160	11	5	11121000	79
