fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220530 104359	183	9	101	8	5	12131000	1
20220530 142305	177	12	108	8	5	11862000	54
20220530 145846	174	9	132	9	5	11822000	60
20220530 134447	133	9	141	8	5	11785000	45
20220530 142050	216	9	103	9	5	11776000	53
20220530 134319	407	9	100	9	5	11772000	44
20220530 154602	327	11	119	7	5	11753000	72
20220530 104912	283	12	206	13	5	11718000	2
20220530 141229	190	9	288	9	5	11680000	51
20220530 130009	489	8	100	9	5	11679000	37
20220530 123744	500	16	320	10	5	11678000	32
20220530 115857	500	12	320	13	5	11675000	23
20220530 114428	356	9	184	9	5	11668000	20
20220530 110819	458	11	138	4	5	11636000	7
20220530 145255	302	13	102	8	5	11630000	58
20220530 155232	352	16	320	6	5	11615000	74
20220530 133853	282	8	107	8	5	11570000	43
20220530 160349	461	10	270	8	5	11541000	76
20220530 152633	320	16	320	14	5	11539000	66
20220530 114001	100	9	258	11	5	11537000	18
20220530 141825	500	15	320	7	5	11484000	52
20220530 134900	198	9	320	20	5	11481000	46
20220530 120749	347	11	247	20	5	11468000	24
20220530 133616	500	13	262	6	5	11456000	42
20220530 121930	198	11	289	8	5	11447000	29
20220530 153456	384	9	320	14	5	11438000	68
20220530 111116	247	10	75	9	5	11429000	8
20220530 154046	278	16	205	7	5	11416000	70
20220530 154851	259	12	164	7	5	11401000	73
20220530 132430	500	11	175	12	5	11378000	40
20220530 111425	269	14	295	7	5	11376000	9
20220530 125306	495	14	313	14	5	11368000	35
20220530 122907	102	13	320	17	5	11359000	31
20220530 121258	196	8	113	14	5	11355000	27
20220530 150059	189	11	73	6	5	11352000	61
20220530 143242	500	9	320	7	5	11348000	56
20220530 140347	235	13	259	12	5	11345000	48
20220530 122534	500	12	124	8	5	11300000	30
20220530 135933	500	9	266	20	5	11282000	47
20220530 142800	406	12	229	8	5	11273000	55
20220530 131621	340	12	320	18	5	11266000	39
20220530 105203	328	6	171	11	5	11221000	3
20220530 154240	100	8	320	19	5	11179000	71
20220530 110510	447	13	154	15	5	11168000	6
20220530 130757	428	16	165	11	5	11151000	38
20220530 150315	140	10	96	10	5	11129000	62
20220530 140635	100	12	178	20	5	11098000	49
20220530 144908	500	16	316	20	5	11090000	57
20220530 113556	476	7	278	12	5	11089000	16
20220530 112128	409	8	40	15	5	11085000	12
20220530 151025	170	14	104	7	5	11065000	64
20220530 141020	194	10	242	16	5	11040000	50
20220530 114526	100	7	54	9	5	11034000	21
20220530 133106	392	7	122	20	5	11028000	41
20220530 150752	500	9	72	6	5	11020000	63
20220530 153722	129	12	320	13	5	10935000	69
20220530 124234	100	16	320	10	5	10889000	34
20220530 113838	500	6	87	6	5	10839000	17
20220530 151929	296	12	90	20	5	10839000	65
20220530 124044	500	16	261	2	5	10813000	33
20220530 145624	293	5	1	20	5	10781000	59
20220530 114956	500	4	1	20	5	10770000	22
20220530 152858	500	12	320	2	5	10753000	67
20220530 112956	216	15	256	20	5	10752000	14
20220530 121710	472	5	81	15	5	10661000	28
20220530 112317	310	16	51	2	5	10618000	13
20220530 125514	348	4	1	11	5	10592000	36
20220530 113048	102	4	11	16	5	10351000	15
20220530 114037	100	12	119	2	5	10116000	19
20220530 105415	368	3	97	17	5	9955000	4
20220530 121011	100	9	1	12	5	9950000	26
20220530 120842	202	9	113	2	5	9868000	25
20220530 155903	278	16	1	15	5	9776000	75
20220530 105527	395	5	301	3	5	8405000	5
20220530 111522	171	2	235	6	5	3259000	11
20220530 111454	140	1	183	19	5	1029000	10
