fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220606 205840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	999983	0.0912437721734428	0.518380134098527	5574	405	0.0150344780154499	13771000	129
20220606 183018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	904	TRUE	999983	0.0103596952020075	0.345915805512117	4123	1024	0.0170594071275582	13728000	27
20220606 183748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	561	TRUE	999983	0.0112051120893235	0.401694471131523	4382	969	0.018149287628997	13717000	32
20220606 191333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	442	TRUE	999983	0.0101453917110349	0.426765488252212	4188	1019	0.0160998359753382	13716000	70
20220606 185642	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	525	TRUE	999983	0.0106215727019207	0.570191511221625	6377	250	0.0159637608181068	13711000	52
20220606 193827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	999983	0.0748104770752981	0.520083396634053	5814	483	0.0149557891198866	13711000	106
20220606 210120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	559	TRUE	999983	0.0103073119796621	0.513813851185439	5639	548	0.0152840136281891	13669000	131
20220606 182241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	482	TRUE	999983	0.0104544244450636	0.522918201433518	4859	1024	0.0169771586344837	13656000	23
20220606 184629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	985	TRUE	999983	0.0100571267439487	0.508087908028897	3830	834	0.0192901561723817	13616000	38
20220606 205202	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	508	TRUE	999983	0.0100838949329308	0.713482825053097	3119	698	0.0168125832541599	13600000	120
20220606 185830	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	486	TRUE	999983	0.0100009975611563	0.527658263581287	4032	946	0.0185071428680842	13588000	53
20220606 184013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1133	TRUE	999983	0.0100130333303244	0.218200495612229	5527	785	0.0162226203971225	13572000	34
20220606 193440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	604	TRUE	999983	0.0100014242242718	0.711613447340163	3162	217	0.0159022246752342	13572000	98
20220606 182815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	632	TRUE	999983	0.0105107456885191	0.487496930345799	2776	1024	0.0189246317216435	13556000	26
20220606 192841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	516	TRUE	999983	0.0101312832143391	0.87636254380459	1402	291	0.0167053430915118	13547000	94
20220606 190045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	635	TRUE	999983	0.0101058786562201	0.638376751462475	5641	20	0.0157078036744375	13539000	57
20220606 182619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1114	TRUE	999983	0.0109849716226027	0.219129525746798	5563	1023	0.0189988601191148	13530000	25
20220606 193748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	406	TRUE	999983	0.0133379254454613	0.981111497110069	2983	668	0.0170000016773557	13520000	103
20220606 191203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	912	TRUE	999983	0.0100682622283922	0.256423889418909	3872	1019	0.0189979712608529	13508000	69
20220606 205040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1111	TRUE	999983	0.0100039235482592	0.200247705964636	4422	857	0.0161012561838403	13498000	119
20220606 190653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1058	TRUE	999983	0.0101158454941264	0.643812481111006	6470	709	0.0160310587698425	13488000	61
20220606 204837	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	190	TRUE	999983	0.0187366365604685	0.825465943622874	1305	618	0.0167451745607626	13487000	118
20220606 191525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	671	TRUE	999983	0.010011935253754	0.420293222915238	3492	792	0.0180861110698685	13476000	71
20220606 191007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	676	TRUE	999983	0.0105813202237979	0.201999165068894	5858	246	0.0158791227923886	13470000	68
20220606 193316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	620	TRUE	999983	0.0136391534088135	0.661684064963764	1001	23	0.0171154332986601	13470000	97
20220606 205554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	620	TRUE	999983	0.0136391534088135	0.661684064963764	1001	23	0.0171154332986601	13470000	123
20220606 182046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	999983	0.0356084957537036	0.254196305308463	3243	896	0.0170567090643636	13442000	21
