fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220608 010929	0	0	0	1	auto	depthwise	256	0	1	0.0205351809475937	0.564043350161792	6	3	0.013017976954662	645	13769000	71
20220608 052453	0	0	0	1	auto	depthwise	256	0	1	0.0103159046942571	0.408888177450396	2	4	0.0172166384253813	529	13685000	89
20220608 092457	0	0	0	1	auto	depthwise	256	0	1	0.0315622849502496	0.338142190122511	6	3	0.0154262687205323	293	13681000	106
20220608 005146	0	0	0	1	auto	depthwise	256	0	1	0.0231263955369244	0.423878364301904	6	4	0.0139106166488899	262	13580000	69
20220608 013428	0	0	0	1	auto	depthwise	256	0	1	0.0208156942602341	0.999652077558632	10	8	0.0138635838999163	129	13571000	73
20220608 003026	0	0	0	1	auto	depthwise	256	0	1	0.010051539888649	0.433712139258025	6	4	0.014165902239744	478	13503000	67
20220607 192156	0	0	0	1	auto	depthwise	256	0	1	0.026550221842205	0.419827730203723	9	6	0.0136717335889974	208	13478000	47
20220607 215601	0	0	0	1	auto	depthwise	256	0	1	0.0100044593246659	0.479637851262256	9	30	0.0141379651677113	226	13477000	58
20220608 084056	0	0	0	1	auto	depthwise	256	0	1	0.0824330909029271	0.999812641509401	10	7	0.0147059912043756	43	13477000	101
20220607 223907	0	0	0	1	auto	depthwise	256	0	1	0.010137337621679	0.418183625449509	6	7	0.0135875909084633	229	13472000	61
20220608 075737	0	0	0	1	auto	depthwise	256	0	1	0.0184301375997047	0.981605628405173	3	3	0.0130950470394005	320	13469000	97
20220607 202437	0	0	0	1	auto	depthwise	256	0	1	0.011696757469143	0.434579387736848	9	11	0.0134656353494554	178	13463000	50
20220608 045204	0	0	0	1	auto	depthwise	256	0	1	0.0316789848116135	0.583861124737562	7	3	0.0135701314796859	239	13455000	87
20220608 074504	0	0	0	1	auto	depthwise	256	0	1	0.010329049135283	0.412018021285285	10	16	0.0136600900006006	224	13450000	96
20220608 024723	0	0	0	1	auto	depthwise	256	0	1	0.0100733474195932	0.438635871699009	10	21	0.0134783603501314	285	13439000	77
20220607 161809	0	0	0	1	auto	depthwise	256	0	1	0.0101352329518575	0.67928405624236	9	30	0.0134115599749662	169	13427000	35
20220607 220610	0	0	0	1	auto	depthwise	256	0	1	0.0238672143377934	0.409525941036054	9	9	0.0148813897526176	186	13425000	59
20220608 041908	0	0	0	1	auto	depthwise	256	0	1	0.0719663071560619	0.99871972658168	10	4	0.0128548017478703	63	13405000	83
20220608 085047	0	0	0	1	auto	depthwise	256	0	1	0.0146118447676798	0.404968799584021	3	3	0.0132957193181349	603	13404000	102
20220607 222329	0	0	0	1	auto	depthwise	256	0	1	0.0102400786481234	0.406424160492725	10	6	0.0135490966546185	484	13403000	60
20220608 044625	0	0	0	1	auto	depthwise	256	0	1	0.0475333013106266	0.53439206105058	5	3	0.0134775358930276	186	13399000	86
20220607 175214	0	0	0	1	auto	depthwise	256	0	1	0.0151367112734592	0.562447502547931	8	30	0.0141755406904691	166	13374000	38
20220608 093649	0	0	0	1	auto	depthwise	256	0	1	0.0235803583017485	0.999125742614325	6	3	0.013999522581334	350	13365000	107
20220608 005744	0	0	0	1	auto	depthwise	256	0	1	0.0313831882785754	0.389657401782762	6	5	0.0142547859066115	201	13357000	70
20220608 064853	0	0	0	1	auto	depthwise	256	0	1	0.0102631939104118	0.375804086745645	0	3	0.0166524530506874	1026	13335000	94
20220608 044011	0	0	0	1	auto	depthwise	256	0	1	0.0102223601526816	0.350639356807129	10	17	0.0117252633701461	269	13326000	84
20220607 225208	0	0	0	1	auto	depthwise	256	0	1	0.0102737391368377	0.405820046009732	5	6	0.0134191649260388	172	13310000	62
20220608 004456	0	0	0	1	auto	depthwise	256	0	1	0.0100374025185679	0.42350054859811	7	6	0.0138848807377507	269	13307000	68
20220608 094214	0	0	0	1	auto	depthwise	256	0	1	0.0747229605122388	0.999988937912777	1	3	0.0165000532375792	148	13275000	108
20220608 001347	0	0	0	1	auto	depthwise	256	0	1	0.0101446933168233	0.466576155302927	6	11	0.014298737393681	761	13269000	64
20220608 083448	0	0	0	1	auto	depthwise	256	0	1	0.0229342709762657	0.497025108669643	6	4	0.0130240746517883	170	13260000	100
20220608 040038	0	0	0	1	auto	depthwise	256	0	1	0.0345255422038779	0.999398336959557	0	3	0.0128690244998045	197	13229000	80
20220608 041004	0	0	0	1	auto	depthwise	256	0	1	0.0156927630250937	0.45296033733295	6	6	0.012616004937952	130	13224000	81
