fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220608 002748	0	0	0	1	hist	lossguide	256	0	1	0.0100853231553921	0.204857559764008	7	6	0.0131523092552474	1514	13767000	34
20220608 001624	0	0	0	1	hist	lossguide	256	0	1	0.0100123119671079	0.662869691231986	10	913	0.0135367674762391	262	13665000	32
20220608 032157	0	0	0	1	hist	lossguide	256	0	1	0.0103813844991595	0.673122615847234	8	6	0.014750398477429	588	13628000	96
20220608 003410	0	0	0	1	hist	lossguide	256	0	1	0.0101104355347718	0.340395209746546	8	5	0.0137553566197036	1167	13573000	36
20220608 021026	0	0	0	1	hist	lossguide	256	0	1	0.0101945083203956	0.321402524545021	7	4	0.0137624901433232	1515	13563000	67
20220608 023237	0	0	0	1	hist	lossguide	256	0	1	0.0100293389638003	0.56259250700822	9	970	0.0136385389049202	236	13553000	74
20220608 023541	0	0	0	1	hist	lossguide	256	0	1	0.0101441604922806	0.584395183261202	10	660	0.0136241331325485	199	13525000	75
20220608 005502	0	0	0	1	hist	lossguide	256	0	1	0.0102206047440063	0.822664785992904	10	610	0.0124395641887781	224	13500000	44
20220608 010619	0	0	0	1	hist	lossguide	256	0	1	0.010103940583018	0.804650447565459	9	834	0.0123749400571354	208	13450000	48
20220608 004444	0	0	0	1	hist	lossguide	256	0	1	0.0107957996287796	0.200270540993798	8	11	0.014159301038845	388	13443000	39
20220608 000517	0	0	0	1	hist	lossguide	256	0	1	0.0100118296760885	0.534921340150474	10	1020	0.0156439486492875	295	13401000	29
20220608 041948	0	0	0	1	hist	lossguide	256	0	1	0.010570502973794	0.200735445815558	3	14	0.0146008581902273	471	13388000	113
20220608 011344	0	0	0	1	hist	lossguide	256	0	1	0.0102542399743717	0.627784809758786	10	711	0.0172148706275414	317	13330000	50
20220608 011733	0	0	0	1	hist	lossguide	256	0	1	0.0100990336825144	0.997930949674638	10	953	0.013354035258312	231	13322000	52
20220608 040200	0	0	0	1	hist	lossguide	256	0	1	0.0120863694611424	0.894934055373832	6	1024	0.0120966230926241	128	13319000	104
20220608 042811	0	0	0	1	hist	lossguide	256	0	1	0.0106245290250786	0.320828646708775	7	46	0.0130819864041703	243	13314000	116
20220608 024344	0	0	0	1	hist	lossguide	256	0	1	0.0277172348069951	0.789589932111584	10	887	0.0138218150532225	113	13302000	78
20220608 011014	0	0	0	1	hist	lossguide	256	0	1	0.0101229353224918	0.331735135878675	10	372	0.0128975890716006	415	13293000	49
20220608 004802	0	0	0	1	hist	lossguide	256	0	1	0.0106361618407943	0.391467890470007	7	3	0.0170623203373662	736	13272000	41
20220607 235003	0	0	0	1	hist	lossguide	256	0	1	0.0147104156721276	0.354612937212133	10	846	0.0120436983916417	292	13269000	22
20220608 043128	0	0	0	1	hist	lossguide	256	0	1	0.010491001689067	0.699613762926595	8	403	0.0131634499976738	202	13259000	117
20220608 021348	0	0	0	1	hist	lossguide	256	0	1	0.0100449379792709	0.713090603908897	10	1017	0.0113194599771588	144	13256000	69
20220608 003744	0	0	0	1	hist	lossguide	256	0	1	0.0101690619085098	0.286305920345765	7	187	0.0129746857481356	252	13254000	37
20220608 035858	0	0	0	1	hist	lossguide	256	0	1	0.0104031793835924	0.827134782187198	8	91	0.0128226395292311	222	13230000	103
20220608 030829	0	0	0	1	hist	lossguide	256	0	1	0.0280434454082029	0.208813953184236	4	2	0.017763087847306	755	13228000	90
20220608 030643	0	0	0	1	hist	lossguide	256	0	1	0.225617776906922	0.200343291544304	7	2	0.0174979235830686	114	13207000	89
20220608 015254	0	0	0	1	hist	lossguide	256	0	1	0.0101175065055183	0.292067360414449	7	1023	0.0133844106344799	325	13202000	62
20220608 021815	0	0	0	1	hist	lossguide	256	0	1	0.0101832525753629	0.2339829549206	7	3	0.0201942677315367	1444	13195000	71
20220608 005823	0	0	0	1	hist	lossguide	256	0	1	0.0103181343931029	0.202521340064198	10	2	0.019041028087658	1330	13179000	45
20220607 235738	0	0	0	1	hist	lossguide	256	0	1	0.0263479180737923	0.402532252141007	9	1024	0.0116622444107599	88	13166000	26
20220608 031851	0	0	0	1	hist	lossguide	256	0	1	0.0102856827852014	0.975922705088672	9	497	0.0124876961206691	264	13149000	95
20220608 000856	0	0	0	1	hist	lossguide	256	0	1	0.0100487904074622	0.411912859183829	9	500	0.0145416424445815	294	13148000	30
20220608 034629	0	0	0	1	hist	lossguide	256	0	1	0.0100066709792743	0.201502713156296	7	2	0.0152537737782124	2264	13116000	99
20220608 031223	0	0	0	1	hist	lossguide	256	0	1	0.011381845368672	0.71627780100853	4	3	0.0134984866478686	1457	13092000	91
20220608 035534	0	0	0	1	hist	lossguide	256	0	1	0.0110752544070604	0.424716412624938	7	741	0.0126946946078173	238	13085000	102
20220608 001300	0	0	0	1	hist	lossguide	256	0	1	0.0100171048657708	0.258269275661483	10	1011	0.0164749381942445	444	13081000	31
20220608 013316	0	0	0	1	hist	lossguide	256	0	1	0.0101616194080003	0.212185274875614	3	1021	0.0131301511078376	275	13079000	56
20220608 040937	0	0	0	1	hist	lossguide	256	0	1	0.0100317043163361	0.203896020249824	6	979	0.0114277648576496	97	13069000	108
20220608 030408	0	0	0	1	hist	lossguide	256	0	1	0.0638544869498387	0.888974663631938	9	1023	0.0129629109661123	20	13047000	84
20220608 031252	0	0	0	1	hist	lossguide	256	0	1	0.26228570286946	0.201433639252135	4	2	0.0192506246966465	152	13037000	92
20220608 014838	0	0	0	1	hist	lossguide	256	0	1	0.0101070822445336	0.747154063697223	3	1024	0.0114805930921808	102	13028000	60
20220608 041522	0	0	0	1	hist	lossguide	256	0	1	0.144664017542286	0.964044185391518	7	2	0.0178302628458387	241	13024000	110
20220608 005119	0	0	0	1	hist	lossguide	256	0	1	0.0100171634301646	0.932098472187065	8	968	0.0134407689099788	166	13019000	42
20220608 024831	0	0	0	1	hist	lossguide	256	0	1	0.0101369156389806	0.202436401219236	8	921	0.0130897687097949	618	13012000	79
20220608 041633	0	0	0	1	hist	lossguide	256	0	1	0.0316834095628651	0.200951195247235	3	2	0.0192421782486776	424	13010000	111
20220608 035141	0	0	0	1	hist	lossguide	256	0	1	0.0103646454783218	0.641871364357493	8	3	0.0185914347280862	2068	13005000	100
20220608 042452	0	0	0	1	hist	lossguide	256	0	1	0.0101935168291192	0.645843923903544	9	919	0.016418126517566	331	12992000	115
20220608 040613	0	0	0	1	hist	lossguide	256	0	1	0.293008345756244	0.872332601356869	6	2	0.0178306360397734	273	12960000	106
20220608 041700	0	0	0	1	hist	lossguide	256	0	1	0.277237993676691	0.520571444323899	7	2	0.0132228647031117	136	12959000	112
20220608 031518	0	0	0	1	hist	lossguide	256	0	1	0.171511523276859	0.200644253036771	5	2	0.0198199151635753	185	12943000	94
20220608 022909	0	0	0	1	hist	lossguide	256	0	1	0.0100044386843523	0.340494868371698	9	2	0.0130534628660806	3139	12941000	73
