Feature	Gain	Cover	Frequency
cextraccion_autoservicio	0.223021660604224	0.0293204880496821	0.0124378109452736
mpayroll	0.149187573692969	0.127747424150998	0.0313432835820896
catm_trx	0.0995901236866938	0.0221589032539245	0.0129353233830846
chomebanking_trx	0.0876873027687501	0.00755560911989022	0.0194029850746269
Master_Fvencimiento	0.0606631071929448	0.0212854524405839	0.0293532338308458
Visa_msaldopesos	0.0590016871718039	0.0165568431551038	0.0169154228855721
mtransferencias_emitidas	0.0510124307571452	0.00532903162151756	0.0134328358208955
mcaja_ahorro	0.0284179483948799	0.00384717823266352	0.0134328358208955
ctarjeta_debito_trx	0.025914507960413	0.00348385062515201	0.00845771144278607
mpasivos_margen	0.0216247509415597	0.0305070499067854	0.018407960199005
Visa_mconsumospesos	0.0196059312257519	0.00286479261624715	0.0169154228855721
Visa_cconsumos	0.0186703842914211	0.000788547413232579	0.00746268656716418
Master_fechaalta	0.0186141535209915	0.0120415692488001	0.027363184079602
Visa_mpagospesos	0.0165261737466735	0.00209052801798601	0.0139303482587065
mcuentas_saldo	0.0159828622507954	0.0187957990931183	0.0253731343283582
mcomisiones	0.0128827040727552	0.00569693879827388	0.0159203980099502
mcomisiones_otras	0.0107329998118735	0.00429944470229082	0.0104477611940299
mcaja_ahorro_dolares	0.00766142292693824	0.00951999494343008	0.0114427860696517
cliente_antiguedad	0.00759650961779319	0.003759463611831	0.0159203980099502
mextraccion_autoservicio	0.00738506909821704	0.00558854810243508	0.0144278606965174
Visa_mpagominimo	0.00736990466140551	0.0017600508849088	0.00895522388059702
mrentabilidad_annual	0.00604768377529088	0.0209253668053596	0.027363184079602
matm_other	0.00546375090544633	0.000562402842851492	0.00348258706467662
mcuenta_corriente	0.00422757427956747	0.00916519168263168	0.0243781094527363
Visa_msaldototal	0.00396035988504604	0.00743626826590666	0.00746268656716418
ctrx_quarter	0.00354241414716083	0.134113320126037	0.0378109452736318
ctransferencias_emitidas	0.00271533359117256	0.00343882575128967	0.00696517412935323
ccomisiones_otras	0.00268430667232173	0.00892920783971471	0.0154228855721393
Master_mpagospesos	0.00260682412151399	0.0143179552304938	0.0144278606965174
Visa_fechaalta	0.00184304422401578	0.00521322746457454	0.018407960199005
cliente_edad	0.00171967930808571	0.017481802786881	0.0288557213930348
mtarjeta_visa_debitos_automaticos	0.00159459288648466	0.0111973641994487	0.0124378109452736
ctarjeta_visa_trx2	0.0014066149169695	0.013557996118339	0.00796019900497512
mtransferencias_recibidas	0.00124896821205884	0.0106034484791205	0.0129353233830846
mautoservicio	0.00120446830189722	0.00164572035173268	0.00895522388059702
Master_mfinanciacion_limite	0.000993735869979942	0.00300777946390565	0.017910447761194
Visa_mfinanciacion_limite	0.000840684628354671	0.003778734076475	0.0169154228855721
Visa_Fvencimiento	0.000669866684296034	0.0036663079186284	0.026865671641791
numero_de_cliente	0.000645469939931921	0.00574590844960452	0.0278606965174129
mtarjeta_master_consumo	0.000490261128769746	0.0033265582913872	0.00447761194029851
ctarjeta_visa_trx	0.000453014088097233	0.0173853371079866	0.0099502487562189
mrentabilidad	0.00043025980644448	0.00446682569107514	0.0159203980099502
mttarjeta_master_debitos_automaticos	0.00034255337935329	0.00171876674830089	0.00497512437810945
Visa_mpagado	0.000322714647082475	0.00138516099861089	0.0054726368159204
Visa_mconsumosdolares	0.000305209314418458	0.00105536399957995	0.00447761194029851
cseguro_accidentes_personales	0.000272296356155288	0.0023892655622378	0.00248756218905473
matm	0.0002612885848264	0.0132949882826507	0.00646766169154229
Master_mconsumospesos	0.000229390654369887	0.00408567857155164	0.00398009950248756
mactivos_margen	0.000227297970621189	0.0228023554039552	0.0199004975124378
ccajas_depositos	0.000223571817395989	0.000147793128252061	0.00099502487562189
cprestamos_personales	0.000220534188112848	0.00642017067193072	0.00845771144278607
ctarjeta_debito	0.000195506376617125	0.00211165751568979	0.00696517412935323
cinversion2	0.000185623583955253	0.00360872323604515	0.00149253731343284
