Feature	Gain	Cover	Frequency
mpasivos_margen	0.158207451435597	0.0256740553692624	0.0211699164345404
cpayroll_trx	0.0970486730316269	0.0257875580142397	0.0105849582172702
mpayroll	0.0700491956163011	0.0447854120983973	0.0167130919220056
Visa_msaldototal	0.0559580891170519	0.00895297337583808	0.0155988857938719
ctrx_quarter	0.0505271435164155	0.0229895834317253	0.018941504178273
mcaja_ahorro	0.0482083321759203	0.0133326584853364	0.0233983286908078
mtarjeta_visa_consumo	0.0362919447768886	0.0141850783380809	0.015041782729805
ctarjeta_visa_trx	0.0304963105880676	0.0102520773057935	0.0128133704735376
mcuentas_saldo	0.0258008294005252	0.040679366049997	0.0389972144846797
mrentabilidad_annual	0.0231743915301296	0.0372594786370229	0.0345403899721449
mprestamos_personales	0.0227667614582928	0.0356179931515161	0.0139275766016713
mactivos_margen	0.0207408214849844	0.0258868211425088	0.0295264623955432
chomebanking_trx	0.0156702961651363	0.0195900215720925	0.0289693593314763
Master_fechaalta	0.0137786547786611	0.0226285173560649	0.0272980501392758
cliente_antiguedad	0.0136494394911591	0.0193693865922442	0.0233983286908078
ctarjeta_visa_trx2	0.01339947588652	0.012758684499693	0.0122562674094708
ccomisiones_otras	0.0130050785969489	0.0235451959352977	0.0239554317548747
mcomisiones_otras	0.0129109191437912	0.00996604650556381	0.0133704735376045
Visa_Fvencimiento	0.0125555454313917	0.0177651409317402	0.0256267409470752
mrentabilidad	0.0123246024369182	0.0172747562687696	0.0272980501392758
Visa_mpagominimo	0.0118885505423487	0.019091289606224	0.0256267409470752
cprestamos_personales	0.0117425813331552	0.00222212697625142	0.00278551532033426
mcaja_ahorro_dolares	0.0112097133899812	0.0172582684073179	0.0194986072423398
Master_Fvencimiento	0.0111942959600622	0.0238965450267797	0.0256267409470752
Visa_fechaalta	0.011152373969975	0.0120928384960863	0.0200557103064067
cliente_edad	0.0103269128984878	0.0256780093548456	0.0261838440111421
Visa_mfinanciacion_limite	0.00900939040061189	0.0206035598765928	0.0278551532033426
mcuenta_corriente	0.0088681604084022	0.0114967041010467	0.0167130919220056
numero_de_cliente	0.00854052229165543	0.0129838549335926	0.0178272980501393
mtransferencias_recibidas	0.00851657680205681	0.0121214467447179	0.0200557103064067
Master_mfinanciacion_limite	0.00821452654451315	0.0103714204784951	0.0161559888579387
mcomisiones	0.00786629453146184	0.0102945115824449	0.0183844011142061
Master_mlimitecompra	0.00776720299269496	0.0120698511093133	0.0183844011142061
Visa_mconsumospesos	0.00682367328881547	0.00835433220562477	0.0183844011142061
Visa_msaldopesos	0.00653821833652318	0.0176327599438312	0.0183844011142061
Master_mpagospesos	0.00605767873521639	0.0247904429635835	0.0133704735376045
ctransferencias_recibidas	0.00568841326748538	0.0177821327325308	0.0116991643454039
cproductos	0.00542458128457707	0.00815745990384036	0.00779944289693593
mtransferencias_emitidas	0.00449642082844497	0.00607259825063015	0.011142061281337
ccaja_ahorro	0.00443915679563408	0.0245236135443234	0.00724233983286908
mcomisiones_mantenimiento	0.00426828411327391	0.00695621065630902	0.00835654596100279
Visa_mpagospesos	0.00416020296344801	0.00823347721490611	0.0133704735376045
ctarjeta_debito_trx	0.00406016749369644	0.00943896472149398	0.0105849582172702
Visa_mconsumototal	0.00400673178390905	0.00781263618072283	0.0116991643454039
mpagomiscuentas	0.0039816165955594	0.0183953752220547	0.0100278551532033
mtarjeta_visa_debitos_automaticos	0.0039585185068552	0.00772867213392609	0.00724233983286908
mcuenta_debitos_automaticos	0.00395573467248306	0.00975684707225522	0.00668523676880223
Visa_cconsumos	0.00393819104480725	0.00455305316364912	0.00891364902506964
thomebanking	0.00390143738894404	0.0035245517372359	0.00501392757660167
mautoservicio	0.003535512671499	0.0119967928266742	0.0172701949860724
mplazo_fijo_dolares	0.00323291085004213	0.0159910677139801	0.00445682451253482
Master_msaldototal	0.00319198082525431	0.00598433133716931	0.00724233983286908
ccaja_seguridad	0.00282343669555868	0.0167190533145466	0.00501392757660167
ctarjeta_debito	0.00276535361629751	0.00976050386284363	0.0116991643454039
ccallcenter_trx	0.00265358158132923	0.0122042995406645	0.00445682451253482
Visa_mlimitecompra	0.00222094008029798	0.00469146850210505	0.00779944289693593
cseguro_accidentes_personales	0.00220469009770561	0.0111164366444168	0.00501392757660167
ccuenta_debitos_automaticos	0.00195409442242808	0.00916094526460285	0.00445682451253482
cpagomiscuentas	0.00192653893833246	0.00717343435447768	0.00612813370473538
Master_status	0.00173907098658732	0.000306524333350601	0.0011142061281337
Master_msaldopesos	0.00171873184008578	0.00186672052701408	0.00278551532033426
Visa_mpagado	0.00165641632617206	0.0108802441526659	0.00668523676880223
