"LA IMPORTANCIA ESTA EN EL ORDEN QUE SALEN LAS VBLES - vendría a ser la ganancia total que ""genera"" el corte con esa variable"				
Feature	Gain	Cover	Frequency	
ctrx_quarter	0.20019288962124	0.0173321039053884	0.0136947917761199	Cantidad de movimientos voluntarios en las cuentas bancarias ( no tarjeta de credito ) que el cliente realizó en los ultimos 90 dias.
mcuentas_saldo	0.0432423598553825	0.0122840074709603	0.0195089488984624	Saldo total de TODAS las cuentas del cliente, cajas de ahorro, cuentas corrientes, pesos y dolares. El valor esta convertido a pesos.
mcaja_ahorro	0.0399622365767138	0.00731203355821588	0.0123025463206192	
mtarjeta_visa_consumo	0.039473091019553	0.0119979596955505	0.0161465447795174	
mdescubierto_preacordado	0.0238995409588314	0.0014847957200607	0.00154110188784981	
foto_mes	0.0190553424776603	0.0146024834878118	0.015971419564989	
cpayroll_trx	0.018435724611831	0.0075738426403467	0.00472838079226647	
ctarjeta_visa	0.0183789994980843	0.000561626377278262	0.000586669468670099	
mcuenta_corriente	0.0161300544837061	0.00656888103653906	0.0104987566109768	
mpayroll	0.0158231961060482	0.0127421089358331	0.00560400686490841	
mprestamos_personales	0.0151659281167509	0.00800155079485295	0.00322230394732234	
mdescubierto_preacordado_delta1	0.0102977288389867	0.00439246854697931	0.00105950754789675	
mpasivos_margen	0.00908270207944614	0.00950039437342052	0.00973696192777836	
numero_de_cliente	0.00876008311066027	0.0100683761780565	0.017057195895065	
cliente_edad_lag1	0.00845789300890575	0.0108082851059259	0.0155861440930265	
ctrx_quarter_delta1	0.00828284070361605	0.00724906697357691	0.0120223459773738	
mrentabilidad_annual	0.00827115180417277	0.00834807072318219	0.0123200588420721	
mactivos_margen	0.00812383171618702	0.00786717893488272	0.013362053868516	
mrentabilidad_annual_delta1	0.00803651937114046	0.00620876215117018	0.0130643410038177	
Master_status	0.00789981302167819	0.00169670050933631	0.000761794683198487	
Master_fechaalta	0.00776755773936062	0.00838111191822853	0.0116983643304963	
cproductos_delta1	0.00754142845451211	0.00421660305237406	0.00154985814857623	
Visa_status	0.00744753858319275	0.00120407915561011	0.000656719554481454	
cliente_edad	0.007401767212223	0.00694780344729443	0.012652796749676	
ctrx_quarter_lag1	0.00639347329488135	0.00702800969673793	0.00838849777590978	
Visa_Fvencimiento_lag1	0.00628511406691731	0.00582211270787638	0.0119610521522889	
ctarjeta_visa_trx	0.00613690590612922	0.0081743848869518	0.0105337816538825	
Visa_Fvencimiento	0.00605890960931317	0.00696162452539358	0.0110854260796469	
mprestamos_personales_delta1	0.00602318094286038	0.00808818388953264	0.00324857272950159	
Visa_fechaalta_lag1	0.00594099535784686	0.00438596753408536	0.00936044271654233	
Visa_fechaalta	0.00588528412165039	0.00563748824967565	0.0106826380862317	
mcaja_ahorro_dolares_delta1	0.00574076718705519	0.00553797885522729	0.0069086897131449	
Master_Fvencimiento	0.00563659548914119	0.0062075404853429	0.0108227382578544	
Master_Fvencimiento_lag1	0.00563655281400479	0.00413472570095674	0.0107351756505902	
mcuenta_corriente_lag1	0.00539906153275207	0.00753445342707016	0.00942173654162726	
mrentabilidad_annual_lag1	0.00539690096170389	0.00633630012218823	0.00858989177261742	
mrentabilidad	0.00531800390165115	0.00432697491518329	0.00821337256138139	
mcaja_ahorro_lag1	0.00530784651290828	0.0052845299423138	0.00936919897726875	
Master_fechaalta_lag1	0.00529830789540426	0.00625718034109081	0.0110504010367413	
mcuentas_saldo_delta1	0.00527700553841616	0.00772349349611305	0.0095268116703443	
mprestamos_personales_lag1	0.00514567468091408	0.00277645794270851	0.0016724457987461	
chomebanking_trx	0.00507927238386761	0.00463388213428685	0.00880879829077791	
Visa_mpagominimo	0.00479754646273466	0.00631379684516513	0.00915029245910826	
Visa_mpagospesos_lag1	0.0047188430156037	0.00550356651329678	0.00887009211586284	
mcuenta_corriente_delta1	0.00467792458118826	0.007605378331238	0.00865994185842878	
mcomisiones_mantenimiento	0.00464363687355112	0.00632957981439681	0.00434310532030402	
mcaja_ahorro_delta1	0.00463359437541219	0.00776886347932058	0.008038247346853	
ccaja_ahorro	0.00462197213517019	0.00397427623281499	0.00277573465027495	
Visa_mfinanciacion_limite	0.00461080134611629	0.00469912813318228	0.00691744597387132	
mactivos_margen_lag1	0.00441283764660336	0.0066454882832034	0.00763545935343771	
mactivos_margen_delta1	0.00440869289437989	0.00392020770477335	0.00755665300689993	
mrentabilidad_delta1	0.00439139249612117	0.00395674501502418	0.00762670309271129	
mtransferencias_recibidas	0.00432628566783766	0.00460253174796583	0.00673356449861651	
Master_mfinanciacion_limite	0.00422955641059973	0.00519797582740561	0.007495359181815	
cproductos	0.00408743134982805	0.00683250176491795	0.00742530909600364	
cliente_antiguedad_lag1	0.00401519383799168	0.0046881919554602	0.00809078491121152	
cliente_antiguedad	0.00391797197806873	0.00377321336493842	0.00817834751847571	
mcuentas_saldo_lag1	0.00379226980153053	0.00730779561366823	0.00738152779237155	
Visa_fultimo_cierre	0.00378230709010102	0.00421483937449786	0.00665475815207874	
Visa_mpagominimo_lag1	0.00373090813062641	0.00530283850743013	0.00679485832370145	
chomebanking_trx_delta1	0.00367619792089209	0.0065970610037346	0.00702252110258835	
ccomisiones_mantenimiento_delta1	0.00365619869103476	0.00460717284070883	0.00133095163041575	
mrentabilidad_lag1	0.00365531047318252	0.0028489640463443	0.0071363524920318	
Visa_mpagospesos_delta1	0.00361059385943577	0.00468181078711314	0.00769675317852264	
mcaja_ahorro_dolares_lag1	0.00344515417760418	0.00365924395062243	0.00610311372631432	
Visa_cconsumos_lag1	0.00318848465052159	0.00463191749337504	0.0060067948583237	
mtransferencias_recibidas_lag1	0.00314461071879709	0.00559531014914853	0.00671605197716367	
chomebanking_trx_lag1	0.00313895859961776	0.00291124402637396	0.00669853945571083	
Visa_mpagospesos	0.00311312021882885	0.00504166737409194	0.00678610206297503	
Master_mfinanciacion_limite_lag1	0.00310107776593196	0.00499982360089545	0.00565654442926693	
Master_fultimo_cierre_lag1	0.00309846926526752	0.00376008255782096	0.00598928233687086	
mcomisiones	0.00304869991707473	0.00288466297944618	0.00534131904311583	
mpasivos_margen_delta1	0.00301103907728797	0.00372178508330079	0.0063658015481069	
