Feature	Gain	Cover	Frequency
ctrx_quarter	0.212269382305819	0.0180106798969458	0.0137647275566512
mcuentas_saldo	0.0464128530370889	0.012758175260197	0.0192214901699317
mtarjeta_visa_consumo	0.0308016189246182	0.011349922893637	0.0151069858843552
Visa_status	0.0256962532341676	0.00107501884527999	0.000657969768482371
mcaja_ahorro	0.0228694747360059	0.00827478337400311	0.0130190284857045
mdescubierto_preacordado	0.0218943428631147	0.00190149351597703	0.00163176502583628
foto_mes	0.0194503374324122	0.0149704119556959	0.016484335933045
cpayroll_trx	0.0171611018799958	0.0085827798143553	0.00490406800775527
mpayroll	0.0168300787104999	0.0128542565723543	0.00606209480028424
ctrx_quarter_lag1	0.0165082216922869	0.0072557061556598	0.00794827480326704
mprestamos_personales	0.0159001739800031	0.00694735765386578	0.00325475712142613
mcuenta_corriente	0.0113471241790898	0.00665658482967015	0.0100274592716713
mdescubierto_preacordado_delta1	0.0111876458766118	0.00393320472182531	0.00105275162957179
mpasivos_margen	0.010714132636897	0.00868966476261912	0.0104661057839929
Master_status	0.0106844548762184	0.00173390022222702	0.000842201303657435
cproductos_delta1	0.00874385440412357	0.00459450594567038	0.00172826725854703
mactivos_margen	0.00849571753408491	0.00809074839654907	0.0128435698807759
numero_de_cliente	0.00848044830612128	0.0102827554482274	0.0166510216077272
cliente_edad_lag1	0.00835188770695626	0.00943042751234408	0.0149929377911516
ctrx_quarter_delta1	0.00812281433139157	0.0072388397422085	0.0118785475536684
mrentabilidad_annual	0.00788274787941023	0.00738384171057842	0.0111767131339539
mrentabilidad_annual_delta1	0.00771427827067562	0.00659587847930112	0.0125365173221508
cliente_edad	0.00749607500074229	0.00770002166107132	0.0129400721134866
Master_fechaalta	0.00731905530057408	0.00834104858116577	0.0113170800178968
mprestamos_personales_delta1	0.00642102560021682	0.00932710208328301	0.00329862177265829
Visa_fechaalta_lag1	0.00634969437154665	0.00451364653328528	0.00956249396861046
Visa_Fvencimiento	0.00623468576569398	0.00821010727765101	0.0121329625308149
Visa_Fvencimiento_lag1	0.00616027440473229	0.00562465667808252	0.0113609446691289
Master_Fvencimiento_lag1	0.00600598324301433	0.0048357750022984	0.0111854860642003
Master_Fvencimiento	0.00600587776305643	0.00607200836812109	0.0107205207611394
mcuenta_corriente_lag1	0.0058344771021982	0.0081002461517452	0.0102116908068464
mcuentas_saldo_delta1	0.00576573680646765	0.00815662539995537	0.0105801538771965
mrentabilidad_annual_lag1	0.00573193601045943	0.00666250971372567	0.00941335415442112
ctarjeta_visa_trx	0.00572742030438707	0.00650888945314673	0.0112732153666646
Master_fechaalta_lag1	0.00564427144577523	0.00578607554466263	0.0109310710870538
chomebanking_trx	0.00564355882749657	0.00472380841391635	0.00934317071244966
mcaja_ahorro_dolares_delta1	0.00552090110094458	0.00571322353496205	0.00616736996324142
mrentabilidad	0.00528854980010548	0.00452584130319284	0.00877293024643161
Visa_fechaalta	0.00512678737500911	0.00478184476039077	0.00969408792230693
mcaja_ahorro_lag1	0.00504958546186332	0.00634626476845482	0.0091852579680139
mactivos_margen_lag1	0.00488888834717938	0.00684973802965002	0.00794827480326704
mcaja_ahorro_delta1	0.00465447504084996	0.00750283801750584	0.00825532736189215
ccaja_ahorro	0.00460713855540705	0.00384672329951524	0.00291261284181529
mcuenta_corriente_delta1	0.00452066165521337	0.00661553613838159	0.00787809136129559
cliente_antiguedad_lag1	0.00450727100711946	0.00537609500785687	0.0090185722933317
Visa_mpagominimo	0.0044877325030007	0.00691882479287549	0.00908875573530315
mtransferencias_recibidas	0.00444161728379945	0.00455283485456605	0.00721134866256678
mrentabilidad_delta1	0.00443293021059467	0.00425930662011469	0.00789563722178845
Visa_mfinanciacion_limite	0.00435142467535103	0.00458905919911357	0.00636037442866292
mcomisiones_mantenimiento	0.00434920955695783	0.00695506011056733	0.00458824251888373
mactivos_margen_delta1	0.00413348963853634	0.00382683374643363	0.00738680726749542
Visa_mpagospesos_lag1	0.00407629402638305	0.00510054155116933	0.00778158912858484
Master_mfinanciacion_limite	0.00402454495372835	0.00503104456116356	0.00719380280207392
cliente_antiguedad	0.00393965121552899	0.00370353957348713	0.00829041908287787
mcuentas_saldo_lag1	0.00392197671872662	0.00500811199401541	0.00760613052365621
Visa_msaldototal	0.00389684156824753	0.00332990838299191	0.00475492819356593
chomebanking_trx_delta1	0.00371880133439774	0.00739004951759296	0.00720257573232035
Visa_fultimo_cierre	0.00371204725167957	0.00391423591530877	0.00664110819654873
mrentabilidad_lag1	0.00367670978288232	0.00331345580287883	0.00706220884837745
Master_mfinanciacion_limite_lag1	0.00358799337564808	0.00599958745719563	0.00645687666137367
Visa_mpagospesos_delta1	0.00354792896612748	0.00481455148319569	0.00793950187302061
Visa_mpagominimo_lag1	0.00349370956085632	0.00531493768427649	0.00665865405704159
